gene	21373_7_39	21373_7_68	21373_7_72	21373_7_104	21373_7_127	21373_7_141	21373_7_156	21373_7_179	21373_7_206	21373_7_229	21373_7_242	21373_7_260	21373_7_283	21373_7_292	21373_7_298	21373_7_306	21373_7_321	21373_7_329	21373_7_348	21373_7_371
ENSMMUG00000010956	0	0	0	0	0	5.01	0	16.01	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000013406	29.01	0	3.01	0	16.01	2.01	2.01914	11.01	0	14.01	0	0	0	9.01	1.01	46.01	0	0	39.01	0
ENSMMUG00000031627	1.05637	0	0	2.07865	1.04356	0	2.07737	0	0	0	0	0	0	0	0	5.37803	0	0	0	0
ENSMMUG00000030541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000013510	0	0	0	58.01	0	0	0	5.01	0	0	28.01	2.01	0	0	5.01603	0	61.01	0	27.0261	0
ENSMMUG00000028845	11.9441	0	0	26.9623	33.0859	6.59661	7.65865	4.80669	0	12.0223	2.57697	1.06043	4.55193	9.37169	3.42322	14.8921	8.89374	4.55226	0	14.4142
ENSMMUG00000001400	0	0	24.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000006788	0	0	11.8967	0	0	0	0	0	0	0	12.9412	0	15.0128	0	0	18.6341	28.9948	26.456	0	0
ENSMMUG00000010706	0	0	0	38.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000013898	0	0	0	0	0	0	0	0	0	0	0	0	0	27.01	0	0	0	0	1.01	0
ENSMMUG00000019875	47.01	0	0	61.02	31.01	151.02	47.01	57.01	36.01	159.02	0	2.01	0	46.01	42.01	73.02	54.01	0	0	0
ENSMMUG00000028719	6.01	24.01	11.01	57.01	0	0	0	0	17.01	51.01	0	29.01	78.01	0	0	34.01	57.0706	0	2.01	0
ENSMMUG00000030039	0	0	0	1.01018	3.01129	0	0	0	1.01	0	0	0	1.01	0	2.01171	0	0	0	0	0
ENSMMUG00000003422	11.1746	13.0519	5.09609	14.1009	8.03729	24.2163	17.3935	31.4107	21.4878	28.3796	10.0539	10.057	24.2018	15.1005	5.01	19.2736	14.0519	20.2729	9.01	17.202
ENSMMUG00000010826	2.01	0	0	0	0	0	0	42.02	0	0	0	0	0	0	0	0	16.02	0	6.02	1.01
ENSMMUG00000011125	320.01	35.01	140.01	473.01	361.162	585.01	185.01	376.287	96.01	417.01	142.01	344.55	637.229	321.913	208.01	420.01	397.01	575.294	65.6203	427.01
ENSMMUG00000010354	0	0	0	0	0	0	1.19846	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000001284	0	2.01573	0	2.0527	6.40883	1.07546	3.03563	1.58829	2.03049	3.25581	1.03395	2.05287	0	2.22997	1.03822	2.05905	6.17357	2.08143	14.255	2.06249
ENSMMUG00000003119	19.01	58.02	9.01	29.01	0	107.02	55.01	93.6387	43.01	11.01	0	11.01	0	20.01	43.01	177.089	21.01	83.01	21.01	168.01
ENSMMUG00000012648	192.01	241.01	104.01	137.01	267.01	708.042	130.075	113.01	990.01	78.01	18.01	202.01	52.01	150.01	183.01	143.01	465.01	329.01	43.0598	116.01
ENSMMUG00000000674	0	0	0	0	0	0	25.8575	0	0	35.4649	5.01	14.01	39.8824	0	0	0	0	28.01	2.01	16.01
ENSMMUG00000017425	34.01	0	14.01	71.01	101.01	66.01	0	5.01	95.01	0	0	23.01	0	48.01	152.01	0	74.01	0	4.01	149.01
ENSMMUG00000017982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000015728	22.02	0	0	66.02	31.01	144.02	22.01	0	53.02	0	0	50.02	17.01	138.01	31.01	137.02	15.0128	0	32.0857	0
ENSMMUG00000012027	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	5.05166	0	0	0
ENSMMUG00000016729	0	0	0	0	0	0	0	0	0	0	0	100.212	0	0	0	0	0	0	0	0
ENSMMUG00000002262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000020925	36.01	72.02	0	45.01	24.01	0	64.01	52.01	45.01	22.01	7.01	1.01	23.01	20.01	6.01	6.01	26.01	68.01	3.01	1.01
ENSMMUG00000018189	0	0	0	4.44676	0	5.7148	0	4.05596	5.40844	0	4.7144	0	12.0769	8.27571	0	0	5.7874	0	0	0
ENSMMUG00000014927	195.01	270.01	94.01	49.01	172.01	202.277	230.01	319.01	223.01	560.01	145.01	318.01	765.955	115.01	308.01	316.893	481.01	314.01	66.01	265.203
ENSMMUG00000022083	2.01771	7.81559	0	1.01672	3.06852	2.37068	2.04839	3.29893	4.08469	3.01081	1.01235	2.01664	1.11524	0	1.01784	9.35976	6.01975	1.01331	5.01824	5.01612
ENSMMUG00000015453	120.02	47.01	0	0	126.01	67.02	25.0203	0	0	14.01	27.01	0	303.01	8.01	10.01	91.02	50.01	110.01	20.01	0
ENSMMUG00000005455	0	0	5.01	0	65.01	0	18.01	9.01	71.01	19.01	3.01	24.01	72.01	18.01	15.01	0	0	220.01	44.01	0
ENSMMUG00000021291	33.01	84.01	7.01	82.01	34.0505	40.01	14.0823	93.0394	86.01	11.0171	0	57.01	20.5228	30.01	30.01	71.01	20.0746	80.1515	1.01	0
ENSMMUG00000001585	0	0	0	0	0	0	0	0	0	0	0	11.01	0	0	0	0	0	0	12.01	0
ENSMMUG00000010745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000031049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000011981	0	0	0	0	0	0	2.01	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000006509	19.01	0	0	0	0	0	6.01	0	0	0	0	0	0	0	33.01	0	0	0	0	2.01
ENSMMUG00000017919	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000005447	0	0	0	0	0	42.01	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000004214	7.01	0	39.9994	49.9317	0	0	140.664	66.6743	0	0	0	0	0	62.4833	43.8239	49.2339	0	0	0	0
ENSMMUG00000001174	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000007288	50.01	10.01	2.01	2.01	38.01	0	0	58.01	36.01	0	51.01	10.01	139.01	16.01	80.01	11.01	77.0914	150.01	12.01	0
