gene	21373_7_20	21373_7_37	21373_7_60	21373_7_102	21373_7_106	21373_7_139	21373_7_152	21373_7_160	21373_7_166	21373_7_169	21373_7_175	21373_7_183	21373_7_202	21373_7_204	21373_7_216	21373_7_221	21373_7_225	21373_7_239	21373_7_254	21373_7_262	21373_7_271	21373_7_279	21373_7_304	21373_7_317	21373_7_327	21373_7_340	21373_7_346	21373_7_354	21373_7_358	21373_7_369	21373_7_377	21373_7_381
ENSMMUG00000000173	33.01	64.01	0	0	0	0	94.01	79.01	0	16.01	115.01	0	17.01	16.81	41.01	118.01	0	0	0	69.01	0	0	60.01	0	100.01	65.01	5.01	238.01	56.01	78.01	43.01	0
ENSMMUG00000013866	27.03	1.01	16.01	50.01	7.02	139.02	187.888	242.397	0	36.02	88.03	66.0412	96.02	179.065	51.01	36.01	124.01	0	1.01	0	7.10124	3.01	45.0259	83.01	51.0187	16.0566	23.01	118.01	121.102	0	29.01	31.01
ENSMMUG00000013359	0	0	16.01	0	0	0	0	0	0	0	0	0	0	0	0	34.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000012474	40.3477	143.492	215.103	11.6319	67.107	4.04847	1.01568	82.58	149.01	44.253	120.481	387.552	103.046	62.9231	16.0796	17.0596	63.0306	101.341	9.15329	84.7778	0	1.1307	243.97	362.269	132.635	126.949	240.713	63.3702	6.01334	201.728	87.9395	22.7409
ENSMMUG00000016698	0	0	0	0	0	0	0	0	0	5.01	62.0641	0	0	0	16.01	0	0	0	0	4.01	0	0	0	0	0	0	0	0	0	0	5.01	0
ENSMMUG00000017607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000017894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.01	0	0	0	73.01	0	0	0	3.01	0	0	0	0	0	64.0347	0	19.01	0
ENSMMUG00000004690	0	0	0	0	0	0	1.01	38.01	0	5.01	0	0	0	0	0	0	0	16.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000010476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000021987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000017248	16.01	147.01	93.01	15.01	1.01	159.01	267.21	133.01	0	33.01	149.064	283.01	60.01	117.1	47.02	66.01	100.035	168.01	220.01	118.01	199.084	150.01	97.3786	58.01	126.01	81.7906	161.01	218.01	190.01	181.01	45.01	25.01
ENSMMUG00000016919	0	7.02	1.03246	1.01	0	0	0	2.01	0	7.07686	0	97.1338	3.01	33.02	0	0	10.0951	1.01	2.05794	0	0	0	46.02	1.01549	36.0231	13.4184	0	6.3137	0	0	0	0
ENSMMUG00000008608	20.02	61.1801	29.6311	3.40674	9.08972	109.433	68.4177	69.2734	1.1375	15.1819	115.58	98.4926	54.2071	129.886	41.9188	118.385	4.3268	156.252	79.5899	88.4479	3.02997	30.4482	39.1886	23.1611	5.39938	2.03175	137.691	86.5097	4.30354	230.205	45.0736	19.5889
