gene	21373_7_6	21373_7_10	21373_7_33	21373_7_35	21373_7_41	21373_7_52	21373_7_56	21373_7_58	21373_7_62	21373_7_75	21373_7_79	21373_7_112	21373_7_135	21373_7_148	21373_7_162	21373_7_173	21373_7_185	21373_7_212	21373_7_214	21373_7_235	21373_7_244	21373_7_258	21373_7_269	21373_7_273	21373_7_281	21373_7_287	21373_7_338	21373_7_352	21373_7_375
ENSMMUG00000018134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01	0	0	0	0	0
ENSMMUG00000021387	0	0	4.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.6087
ENSMMUG00000018224	0	0	0	0	0	0	0	0	0	0	0	0	3.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000006055	38.01	49.2688	170.01	141.01	1.0111	12.01	103.01	312.01	0	13.01	137.01	379.01	15.01	166.205	118.01	0	50.01	342.397	93.01	86.189	306.01	0	95.01	0	43.8841	77.01	156.9	52.2822	198.215
ENSMMUG00000000413	0	0	0	0	16.01	1.01	0	4.01	0	0	0	0	0	0	0	0	70.01	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000004995	1.02627	0	4.12097	0	1.01	4.15864	16.9904	10.6198	9.73795	0	14.8246	19.2667	0	0	4.18561	0	4.48118	4.18603	6.2611	4.17226	0	4.28948	0	11.5343	0	0	8.46231	0	0
ENSMMUG00000029910	26.01	48.01	4.01	10.8245	0	64.01	43.01	0	0	0	0	0	60.01	0	9.01	3.01	0	0	0	0	0	30.3484	0	0	0	110.01	0	0	0
ENSMMUG00000019784	0	0	0	0	0	0	4.01	12.01	0	0	0	0	0	0	0	80.01	0	0	0	19.01	0	157.01	52.01	40.01	0	53.01	0	35.01	0
ENSMMUG00000006312	0	0	0	0	0	1.01	0	0	0	0	10.01	0	0	0	0	0	0	0	3.01	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000022346	7.01551	0	1.01	147.01	22.01	5.01	180.01	89.01	163.153	0	112.01	109.01	35.01	0	61.01	19.01	0	27.01	26.01	221.01	0	309.01	21.01	27.01	0	0	51.01	27.0413	108.01
