gene	21373_1_7	21373_1_22	21373_1_46	21373_1_73	21373_1_74	21373_1_99	21373_1_107	21373_1_114	21373_1_123	21373_1_124	21373_1_131	21373_1_137	21373_1_138	21373_1_153	21373_1_177	21373_1_178	21373_1_181	21373_1_188	21373_1_192	21373_1_195	21373_1_207	21373_1_208	21373_1_234	21373_1_275	21373_1_276	21373_1_295	21373_1_334	21373_1_341	21373_1_360	21373_1_365
ENSMUSG00000042548	33.0372	27.01	0	0	0	0	0	0	18.0102	74.0314	0	0	0	30.01	0	0	0	0	0	0	0	11.1211	0	264.01	1.01	0	0	0	0	0
ENSMUSG00000083606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000039578	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01	0	0	0	0	0	0
ENSMUSG00000031137	2.01	0	2.04	0	0	0	0	0	0	0	0	1.03996	1.74528	0	30.9057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000305	0	0	0	0	0	0	0	0	0	7.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000083380	3.61194	25.1779	0	0	9.63828	5.33817	2.91793	11.2578	104.798	45.3347	0	91.1392	0	1.49662	0	103.938	0	0	53.6433	10.0504	16.7526	3.72675	56.2858	19.6932	0	0	0	11.3763	8.66511	20.9141
ENSMUSG00000020978	1.01	36.1586	0	1.01	0	25.01	0	111.081	0	5.01	267.225	72.01	53.8475	137.02	0	1.01	0	0	0	27.01	51.1959	0	1.0101	281.01	0	1.7144	0	18.01	5.71668	33.1275
ENSMUSG00000039518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001767	0	0	0	0	0	29.01	48.01	1.01	0	0	0	5.01011	0	23.01	0	6.02972	0	0	1.01	30.01	25.01	0	0	221.01	892.629	0	0	0	0	37.01
ENSMUSG00000108989	7.74161	4.92876	35.6629	56.0013	40.5022	8.82986	0	3.12055	20.6248	0	78.9458	25.211	40.7493	1.93013	150.767	0	20.9608	0	0	2.39723	0	2.53267	0	0	7.55619	22.3036	0	1.01	0	0
ENSMUSG00000106918	19.02	33.01	51.233	20.2687	78.4739	18.2099	11.02	28.01	159.082	157.593	129.341	178.165	7.04362	17.03	4.40573	184.952	422.743	260.04	591.695	3.10152	48.5045	39.02	306.773	308.785	25.086	27.0338	764.633	20.7478	33.01	33.2723
ENSMUSG00000030201	2.01	0	3.84525	1.10919	9.01	0	0	0	1.01033	38.01	1.04328	4.08117	1.03112	0	3.55864	7.24309	0	0	1.01023	27.02	15.01	0	2.01677	0	1.01	0	1.45879	0	89.02	0
ENSMUSG00000038042	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000036908	28.01	0	0	0	0	0	0	11.01	0	0	0	20.01	0	3.01	0	72.4866	252.02	7.01	0	23.01	27.01	18.01	0	145.01	0	0	0	0	0	3.01
ENSMUSG00000107644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000021069	1.01	0	0	0	0	0	0	0	0	306.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.01	0	0
ENSMUSG00000031202	0	0	0	0	0	0	0	0	0	0	0	9.40995	0	13.01	0	0	0	0	0	0	0	0	15.0125	0	0	0	0	0	0	0
ENSMUSG00000034959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000078234	0	0	0	20.2459	0	0	0	0	0	0	13.6287	0	0	1.04264	18.1668	0	0	0	0	0	0	2.43258	0	0	0	2.05662	0	0	0	0
ENSMUSG00000092192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000074934	0	195.166	94.9102	0	28.4287	2.01	0	44.01	537.403	3886.82	229.658	1435.71	1.02131	63.6119	0	0	0	839.189	0	4.0534	114.929	82.01	0	5378.81	1332.91	0	658.01	32.01	1588.17	23.01
ENSMUSG00000081230	0	0	1.1203	0	0	0	0	0	1.01193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000022680	0	11.4212	23.7379	12.9716	1.02199	43.6236	1.10927	0	0	216.159	1.05527	216.103	8.34407	3.01	7.10664	44.0396	0	0	0	15.6126	0	4.0003	226.034	47.543	1.01055	2.95792	1.0119	55.0821	0	2.02
ENSMUSG00000078742	0	0	0	0	0	0	0	0	0	0	0	3.01	0	0	0	1.01	15.01	0	0	0	0	0	0	0	0	0	0	0	1.99649	0
ENSMUSG00000022672	0	24.02	0	0	32.01	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0	194.01	0	0	0	7.01	0	0
