gene	21373_3_7	21373_3_8	21373_3_21	21373_3_31	21373_3_32	21373_3_50	21373_3_63	21373_3_64	21373_3_99	21373_3_113	21373_3_124	21373_3_131	21373_3_137	21373_3_138	21373_3_154	21373_3_158	21373_3_163	21373_3_167	21373_3_178	21373_3_188	21373_3_191	21373_3_192	21373_3_195	21373_3_208	21373_3_210	21373_3_219	21373_3_231	21373_3_233	21373_3_252	21373_3_275	21373_3_276	21373_3_295	21373_3_302	21373_3_310	21373_3_319	21373_3_326	21373_3_333	21373_3_341	21373_3_342	21373_3_360
ENSRNOG00000004132	4.01	3.02292	4.23159	227.572	140.614	71.4582	211.153	93.9303	178.452	34.6956	0	2.01014	6.71187	50.01	81.6526	28.8318	1.6333	10.1752	68.2414	0	438.743	4.01	105.764	7.01	155.937	105.812	213.74	6.16932	1.01161	80.2539	66.01	108.128	192.638	10.0534	4.02012	1.03468	13.0729	36.0565	25.2567	239.154
ENSRNOG00000004186	0	0	0	0	3.01	1.01	0	50.02	5.01	0	5.01	0	68.02	21.02	0	207.02	7.01	0	0	0	0	0	29.01	36.01	0	159.094	47.02	0	1.01	0	0	11.01	166.01	0	0	0	0	0	0	128.02
ENSRNOG00000056753	0	53.01	0	0	0	0	46.01	55.01	0	0	0	0	148.01	18.01	0	0	0	0	0	9.01	0	0	0	0	0	115.01	180.01	0	0	19.01	0	0	0	0	10.01	0	0	0	0	0
ENSRNOG00000047234	0	0	23.3515	0	0	0	1.02945	0	0	0	0	0	0	2.01	0	0	2.38884	10.391	0	0	6.08845	0	0	2.46577	0	0	3.23641	3.46328	0	1.32405	0	0	0	0	0	1.01	0	1.01	0	0
ENSRNOG00000005074	41.01	0	191.01	0	0	237.01	0	0	154.01	0	65.01	0	122.01	48.01	6.01	0	0	254.01	39.01	0	218.01	0	0	196.01	0	38.01	0	0	118.01	0	26.01	25.01	194.01	0	0	0	1.01	0	69.01	0
ENSRNOG00000014815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000012058	3.01	0	0	0	0	0	0	0	0	0	0	0	0	1.2049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000022967	0	71.01	0	0	0	0	202.072	0	83.01	1.01	0	0	407.01	0	0	0	0	0	0	0	0	0	0	0	141.01	0	169.341	275.01	0	113.01	0	0	0	0	0	111.01	0	0	0	0
ENSRNOG00000014856	38.01	270.01	176.01	0	105.01	171.01	39.01	131.01	292.01	187.044	12.01	177.01	680.01	21.01	411.229	117.01	0	0	62.01	23.01	69.01	65.01	0	85.01	97.01	322.272	0	0	112.01	169.01	0	0	370.569	75.01	133.059	0	0	674.01	0	452.01
ENSRNOG00000015109	3.01	3.01018	3.01404	3.01	9.01311	224.243	3.07474	69.0226	215.116	6.01736	2.01	124.257	3.01899	0	0	202.963	197.885	5.01247	30.01	0	6.01285	1.01	0	94.0426	0	46.0386	2.01015	3.01865	8.01	175.308	1.01	307.299	187.01	1.01	6.18326	0	219.64	394.082	6.02667	1.01015
ENSRNOG00000026962	0	0	0	0	0	0	0	5.01	0	0	43.01	40.01	0	0	81.01	110.01	0	0	4.01	10.01	0	0	0	12.01	194.075	0	0	0	33.022	0	0	0	0	0	0	0	0	0	41.01	0
ENSRNOG00000018114	233.01	8.01	0	221.01	0	168.994	0	0	42.01	1.01	78.01	486.01	150.01	1.01	20.0486	0	465.01	0	42.01	38.01	0	0	239.01	1.01	50.01	0	0	0	240.01	18.01	97.01	273.595	851.01	43.01	0	3.01	338.01	732.265	75.01	176.01
ENSRNOG00000021123	0	0	1.05093	0	0	0	1.01553	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0
