gene	21373_3_39	21373_3_72	21373_3_77	21373_3_78	21373_3_91	21373_3_92	21373_3_96	21373_3_104	21373_3_109	21373_3_110	21373_3_117	21373_3_128	21373_3_133	21373_3_142	21373_3_155	21373_3_156	21373_3_179	21373_3_205	21373_3_229	21373_3_230	21373_3_242	21373_3_259	21373_3_260	21373_3_266	21373_3_291	21373_3_292	21373_3_298	21373_3_305	21373_3_315	21373_3_316	21373_3_322	21373_3_330	21373_3_372
ENSRNOG00000049622	344.789	367.855	362.01	29.385	251.64	168.634	139.956	348.193	84.5997	72.3436	842.607	122.301	166.667	178.383	1040.63	157.593	502.798	379.315	347.142	76.01	761.947	821.832	524.558	144.118	1368.97	195.465	538.088	70.3604	936.914	18.3841	161.391	254.737	168.443
ENSRNOG00000013481	0	0	0	84.01	0	0	0	37.01	0	57.01	0	25.01	3.01	0	117.01	0	162.01	0	0	0	0	0	59.01	97.01	0	168.01	0	0	3.01	0	0	0	0
ENSRNOG00000053406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000025444	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000024140	411.01	234.01	260.01	50.01	148.01	79.01	47.01	129.01	116.01	250.01	71.01	99.01	84.01	58.01	79.6493	58.01	334.924	41.01	122.156	73.01	110.01	482.502	48.01	120.01	181.01	282.01	123.01	181.88	148.01	51.01	137.584	53.01	31.01
ENSRNOG00000014613	128.01	0	0	47.01	0	0	0	0	0	0	125.01	0	0	0	369.01	0	0	187.01	29.01	0	0	659.449	360.01	100.01	8.01	0	2.01	0	0	0	24.01	0	0
ENSRNOG00000026589	29.01	0	260.01	0	0	0	44.01	171.014	180.01	0	1.01	20.01	58.01	7.01	247.01	0	147.01	95.01	0	1.01	75.01	0	2.01	38.01	124.01	0	111.01	0	265.01	28.01	5.01	21.01	3.01
ENSRNOG00000001439	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.01	0	0	0
ENSRNOG00000005998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000017828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.01	0	0	0	0	0	0	0	0
ENSRNOG00000014961	168.01	259.01	2380.74	1.01	258.021	59.01	0	136.01	196.22	179.01	1450.62	143.01	0	1.01	220.01	1.01	275.01	1575.61	72.01	178.01	0	2.01	190.01	132.01	515.01	1606.01	602.01	201.01	598.902	80.01	273.559	122.01	63.01
ENSRNOG00000018531	139.999	77.3831	55.9917	0	255.459	16.01	31.0734	69.01	0	1.01	0	24.01	0	0	17.01	0	177.51	94.01	216.01	0	89.01	292.425	179.478	70.01	249.01	193.424	75.01	0	0	16.01	57.4142	23.01	40.1951
ENSRNOG00000010344	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000033099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000042496	2.29914	0	158.754	10.8033	1.10983	0	36.9171	2.11225	6.57003	99.4715	1.44377	26.9625	63.2104	0	23.3567	2.24519	196.403	3.95869	119.228	1.07376	1.31319	97.2189	2.22218	20.5948	24.3739	1.14445	11.2863	27.5562	1.10046	96.477	7.67163	2.37755	7.75326
ENSRNOG00000049229	1056.41	372.48	801.086	139.11	499.015	157.206	132.57	403.735	313.581	346.1	1369.21	134.823	607.705	485.329	1047.76	362.751	1060.77	735.622	208.916	230.32	752.807	1098.35	551.359	236.072	1231.21	895.135	666.007	207.722	769.555	112.807	256.801	214.973	235.729
ENSRNOG00000011040	30.6789	15.1815	6.01	5.85502	0	2.24251	0	0	0	0	0	2.47763	0	12.5111	29.16	10.156	15.306	0	0	27.9484	25.0917	93.5157	18.1979	7.11446	43.0998	0	58.3359	0	0	0	4.01123	12.8405	13.5681
ENSRNOG00000013238	105.01	56.01	1.01	18.01	0	0	0	0	0	0	0	0	10.01	0	0	90.01	103.01	88.01	0	0	3.01	0	0	0	102.01	0	147.01	0	0	9.01	0	0	0
ENSRNOG00000053025	0	0	0	0	0	0	0	0	0	3.79837	0	0	2.46567	2.01	0	0	4.94927	0	0	0	1.21635	26.7228	0	0	6.01	3.7745	0	144.964	14.1835	0	2.10549	1.26784	0
ENSRNOG00000000568	7.02995	1.01	119.071	60.01	179.301	3.01	1.01	64.4241	0	117.768	0	26.0696	0	0	0	0	158.01	119.307	134.01	17.0365	1.01	2.01059	223.806	16.01	1.01028	1.01	3.01	2.01967	256.49	0	2.01	0	1.01
