index	gene	class	divergence
1	ENSMUSG00000018930	a_all	2.00413195407691
2	ENSMUSG00000018930	b_DE	2.00413195407691
3	ENSMUSG00000034855	a_all	3.05754308097741
4	ENSMUSG00000034855	b_DE	3.05754308097741
5	ENSMUSG00000035692	a_all	1.52607547265705
6	ENSMUSG00000035692	b_DE	1.52607547265705
7	ENSMUSG00000035042	a_all	1.5757799819158
8	ENSMUSG00000035042	b_DE	1.5757799819158
9	ENSMUSG00000027399	a_all	1.84772430279243
10	ENSMUSG00000027399	b_DE	1.84772430279243
11	ENSMUSG00000017652	a_all	1.68792888126943
12	ENSMUSG00000017652	b_DE	1.68792888126943
13	ENSMUSG00000027832	a_all	2.67174959456706
14	ENSMUSG00000027832	b_DE	2.67174959456706
15	ENSMUSG00000017009	a_all	0.796346116210948
16	ENSMUSG00000017009	b_DE	0.796346116210948
17	ENSMUSG00000018796	a_all	-0.311114587726695
18	ENSMUSG00000018796	b_DE	-0.311114587726695
19	ENSMUSG00000021025	a_all	0.441660431623055
20	ENSMUSG00000021025	b_DE	0.441660431623055
21	ENSMUSG00000024789	a_all	1.98393798613968
22	ENSMUSG00000024789	b_DE	1.98393798613968
23	ENSMUSG00000000982	a_all	-1.11609898792342
24	ENSMUSG00000000982	b_DE	-1.11609898792342
25	ENSMUSG00000025790	a_all	2.49773509774378
26	ENSMUSG00000025790	b_DE	2.49773509774378
27	ENSMUSG00000044701	a_all	1.9620539623703
28	ENSMUSG00000044701	b_DE	1.9620539623703
29	ENSMUSG00000037405	a_all	-0.471577672183253
30	ENSMUSG00000037405	b_DE	-0.471577672183253
31	ENSMUSG00000004296	a_all	2.08089408861405
32	ENSMUSG00000004296	b_DE	2.08089408861405
33	ENSMUSG00000025225	a_all	1.62979389298851
34	ENSMUSG00000025225	b_DE	1.62979389298851
35	ENSMUSG00000031488	a_all	2.12774592780218
36	ENSMUSG00000031488	b_DE	2.12774592780218
37	ENSMUSG00000041827	a_all	1.70505553761167
38	ENSMUSG00000041827	b_DE	1.70505553761167
39	ENSMUSG00000030162	a_all	2.45716745508278
40	ENSMUSG00000030162	b_DE	2.45716745508278
41	ENSMUSG00000038037	a_all	1.78284464180459
42	ENSMUSG00000038037	b_DE	1.78284464180459
43	ENSMUSG00000002699	a_all	1.23310124952573
44	ENSMUSG00000002699	b_DE	1.23310124952573
45	ENSMUSG00000019850	a_all	0.033352048717925
46	ENSMUSG00000019850	b_DE	0.033352048717925
47	ENSMUSG00000006818	a_all	2.00192418598966
48	ENSMUSG00000006818	b_DE	2.00192418598966
49	ENSMUSG00000022094	a_all	2.68715070996919
50	ENSMUSG00000022094	b_DE	2.68715070996919
51	ENSMUSG00000032688	a_all	0.898655674006742
52	ENSMUSG00000032688	b_DE	0.898655674006742
53	ENSMUSG00000027035	a_all	0.841918914898518
54	ENSMUSG00000027035	b_DE	0.841918914898518
55	ENSMUSG00000045664	a_all	1.50422679333345
56	ENSMUSG00000045664	b_DE	1.50422679333345
57	ENSMUSG00000039735	a_all	1.87608563854681
58	ENSMUSG00000039735	b_DE	1.87608563854681
59	ENSMUSG00000016528	a_all	1.52160923590668
60	ENSMUSG00000016528	b_DE	1.52160923590668
61	ENSMUSG00000035385	a_all	1.82283860608672
62	ENSMUSG00000035385	b_DE	1.82283860608672
63	ENSMUSG00000040339	a_all	2.06502583326541
64	ENSMUSG00000040339	b_DE	2.06502583326541
65	ENSMUSG00000027995	a_all	1.16885782752856
66	ENSMUSG00000027995	b_DE	1.16885782752856
67	ENSMUSG00000050395	a_all	1.92190068897352
68	ENSMUSG00000050395	b_DE	1.92190068897352
69	ENSMUSG00000033538	a_all	-0.339220262524235
70	ENSMUSG00000033538	b_DE	-0.339220262524235
71	ENSMUSG00000048216	a_all	1.60814746592742
72	ENSMUSG00000048216	b_DE	1.60814746592742
73	ENSMUSG00000064289	a_all	0.271186791640683
74	ENSMUSG00000064289	b_DE	0.271186791640683
75	ENSMUSG00000054855	a_all	2.16705000898681
76	ENSMUSG00000054855	b_DE	2.16705000898681
77	ENSMUSG00000043336	a_all	0.440379790627316
78	ENSMUSG00000043336	b_DE	0.440379790627316
79	ENSMUSG00000053113	a_all	2.80437324357836
80	ENSMUSG00000053113	b_DE	2.80437324357836
81	ENSMUSG00000034422	a_all	-0.186916382342803
82	ENSMUSG00000034422	b_DE	-0.186916382342803
83	ENSMUSG00000020407	a_all	1.94502131328042
84	ENSMUSG00000020407	b_DE	1.94502131328042
85	ENSMUSG00000005087	a_all	0.647887583641882
86	ENSMUSG00000005087	b_DE	0.647887583641882
87	ENSMUSG00000025314	a_all	1.61998246379185
88	ENSMUSG00000025314	b_DE	1.61998246379185
89	ENSMUSG00000018899	a_all	-2.36430206038252
90	ENSMUSG00000018899	b_DE	-2.36430206038252
91	ENSMUSG00000078453	a_all	1.09705658935709
92	ENSMUSG00000078453	b_DE	1.09705658935709
93	ENSMUSG00000024772	a_all	0.461974592851552
94	ENSMUSG00000024772	b_DE	0.461974592851552
95	ENSMUSG00000035164	a_all	-0.025798451302112
96	ENSMUSG00000035164	b_DE	-0.025798451302112
97	ENSMUSG00000030156	a_all	3.30353996793274
98	ENSMUSG00000030156	b_DE	3.30353996793274
99	ENSMUSG00000018500	a_all	1.49750610901346
100	ENSMUSG00000018500	b_DE	1.49750610901346
101	ENSMUSG00000028266	a_all	1.32378187915985
102	ENSMUSG00000028266	b_DE	1.32378187915985
103	ENSMUSG00000045932	a_all	2.95754293913589
104	ENSMUSG00000045932	b_DE	2.95754293913589
105	ENSMUSG00000020641	a_all	1.36561300530159
106	ENSMUSG00000020641	b_DE	1.36561300530159
107	ENSMUSG00000061731	a_all	0.916273805587355
108	ENSMUSG00000061731	b_DE	0.916273805587355
109	ENSMUSG00000026821	a_all	0.841991232049819
110	ENSMUSG00000026821	b_DE	0.841991232049819
111	ENSMUSG00000025959	a_all	1.46633250837927
112	ENSMUSG00000025959	b_DE	1.46633250837927
113	ENSMUSG00000027555	a_all	2.01281148718902
114	ENSMUSG00000027555	b_DE	2.01281148718902
